Company Name,Country,Website,Contact Page,General Email,Sales Email,Purchasing Email,Phone,WhatsApp,Contact Person,LinkedIn,Facebook,Instagram,Products Sold,Company Type,Notes
"La Maison du Haut-Parleur","France","https://www.lamaisonduhautparleur.com","https://www.lamaisonduhautparleur.com/fr/nous-contacter","paris@lamaisonduhautparleur.fr","","","01 43 57 80 55","","","","","","Hi-Fi components, repair parts, crossovers, surrounds","Speaker Repair / Retailer","Historic player in all-brand repair and Hi-Fi components in France"
"La Boutique du Haut-Parleur","France","https://www.haut-parleur.net","","","","","","","","","","","Surrounds, membranes, repair kits","Retailer","Specialized in spare parts for speakers in France"
"Audiophonics","France","https://www.audiophonics.fr","","","","","","","","","","","Electronic components, DIY audio parts, drivers","Distributor","Reference in France for DIY audio components"
"Planet Sono","France","https://www.planetsono.com","","","","","","","","","","","Diaphragms, motors, filters, speaker parts","Retailer","Specialized in spare parts with technical repair expertise"
"AVLS Paris","France","https://www.avls.eu","","","","","","","","","","","Grilles, foams, speaker maintenance accessories","Retailer","Sells speaker maintenance parts and accessories"
"Axiomedia","Italy","https://www.axiomedia.it","https://www.axiomedia.it/contatti","ordini@axiomedia.it","","","+39 039 2051560","","","","","","Hi-Fi components, recone kits, original spares","Importer","Specialized in Hi-Fi and professional speaker components"
"GS Audio","Italy","https://www.gsaudio.it","","","","","","","","","","","Woofer and subwoofer spares, repair kits","Retailer","Well known in car audio and tuning speaker components"
"Masterstore24","Italy","https://www.masterstore24.com","","","","","","","","","","","Surround kits, crossover parts, acoustic cloths","Retailer","Complete assortment of speaker repair accessories"
"Officina del Suono","Italy","https://www.officinadelsuono.eu","","","","","","","","","","","Foam surrounds, speaker spares","Speaker Repair","Selection of foam surrounds for various brands"
"El Paie","Italy","https://www.elpaie.it","","","","","","","","","","","Voice coils, cones, surrounds, adhesives","Distributor","Sells speaker components to repairers in Italy"
"Audioconika","Italy","https://www.audioconika.it","","","","","","","","","","","Reconing, rewinding, speaker restoration","Recone Specialist","Specializes in complete repair and reconing services"
"Music & Light Service (MLS)","Italy","https://www.mlsnacci.com","","","","","","","","","","","Reconing, speaker repair, components","Recone Specialist","Speaker recovery center in Italy"
"DJMania","Spain","https://djmania.es","","","","","","","","","","","Membranes, tweeters, compression drivers, passive filters","Retailer","Specialist in pro audio components in Spain"
"Sonicolor","Spain","https://sonicolor.es","","sonicolor@sonicolor.es","","","","","","","","","Speaker spares, filters, components","Retailer","Reference in electronic and sound components in Spain"
"Masquesonido","Spain","https://masquesonido.com","","","","","","","","","","","Horns, motors, piezoelectrics, repair accessories","Retailer","Spares for a large variety of speaker brands"
"BaseDJ","Spain","https://basedj.es","","","","","","","","","","","Suspension spiders, membranes, woofers, tweeters","Distributor","Component specialist for pro repair and DIY in Spain"
"Audio Serwis","Poland","http://audioserwis.pl","","","","","781 643 235","","","","","","Voice coils, spiders, surrounds, dust caps, recone kits","Speaker Repair","Specialist shop for speaker repair parts in Poland"
"BlackDotAudio","Poland","https://blackdotaudio.pl","","","","","","","","","","","Speakers, crossover elements, DIY components","Retailer","DIY audio focused retailer in Poland"
"Wytwórnia Basu","Poland","https://wytworniabasu.pl","","","","","","","","","","","Subwoofer components, car audio parts","Retailer","Dedicated to car audio speaker components in Poland"
"Naprawa Glosnikow (Acoustic)","Poland","https://naprawa-glosnikow.pl","","","","","","","","","","","Speaker repair and regeneration services","Speaker Repair","Repairs PA, car, and Hi-Fi speakers in Poland"
"Speakerbits","Australia","https://www.speakerbits.com.au","","","","","(03) 9647 7000","","","","","","Hi-Fi speaker parts, surrounds, repair components","Speaker Repair / Retailer","Established Australian speaker repair parts specialist"
"Queensland Speaker Repairs","Australia","https://qsr.net.au","","","","","","","","","","","Recone kits, foam/rubber/cloth surrounds, DIY repair kits","Speaker Repair / Retailer","Vast online catalog of recone kits and surround repair kits"
"Speaker Re Store","Australia","https://speakerrestore.com.au","","","","","","","","","","","Aftermarket recone kits for JBL, Celestion, Mackie","Speaker Repair / Retailer","Provides aftermarket recone kits for popular brands"
"Wagner Online","Australia","https://www.wagneronline.com.au","","","","","","","","","","","Speaker drivers, crossovers, woofers, tweeters, cabinet parts","Distributor / Importer","Long-standing Australian supplier of speaker builder components"
"The Speaker Hospital","Australia","https://speakerhospital.com.au","","","","","","","","","","","Refoaming, reconing, diaphragms, speaker repair kits","Speaker Repair / Recone Specialist","Sydney-based specialist in refoaming and reconing services"
"EAV (Ettrick Audio Visual)","Australia","https://eav.com.au","","info@eav.com.au","","","(08) 9275 7375","0423 597 073","","","","","Speaker reconing, original replacement parts, HF diaphragms","Speaker Repair / Recone Specialist","Professional PA and pro audio reconing service, WA"
"Dr. Sound","Australia","https://drsound.com.au","","","","","","","","","","","Professional reconing, refoaming, speaker repair","Speaker Repair / Recone Specialist","Melbourne-based professional reconing and refoaming services"
"Total Recoil Speaker Repairs","Australia","https://totalrecoilspeakerrepairs.com.au","","","","","","","","","","","Speaker restoration, reconing, refoaming","Speaker Repair / Recone Specialist","Comprehensive speaker restoration services in Australia"
"DJ City","Australia","https://djcity.com.au","","","","","","","","","","","Replacement drivers, tweeters, crossover components","Distributor / Retailer","Stocks various speaker hardware suitable for repairs"
"Solen Electronique Inc.","Canada","https://solen.ca","","solen@solen.ca","","","450-656-2759","","","","","","Crossover parts, speaker driver units, capacitors, coils","Distributor / Importer","Major Canadian source for raw drivers and audio components"
"Q Components (McBride)","Canada","https://www.qcomponents.ca","","","sales@qcomponents.ca","","1-800-363-6336","","","","","","Component loudspeakers, DIY audio repair parts, recone kits","Distributor / Retailer","One of Canada's largest distributors of DIY speaker parts"
"The Speaker Shop","Canada","https://thespeakershop.ca","","","","","","","","","","","Cones, voice coils, spiders, dust caps, reconing services","Speaker Repair / Distributor","Long-standing Canadian specialist stocking thousands of parts"
"Santon Audio","Canada","https://santonaudio.ca","","","","","","","","","","","Foam surrounds, diaphragms, recone kits","Speaker Repair / Retailer","Toronto-based repair services and speaker parts supplier"
"Taylor Electronic Services","Canada","https://tescanada.com","","","","","","","","","","","EV recone kits, genuine drivers, pro audio parts","Distributor / Speaker Repair","Specialized in Electro-Voice genuine recone kits and repairs"
"Viva Afrika","South Africa","https://vivaafrika.co.za","","","","","","","","","","","Recone kits (Hybrid, Celto), pro audio components","Distributor","Prominent SA distributor offering dealer wholesale pricing"
"Surgesound","South Africa","https://surgesound.co.za","","","","","","","","","","","B&C recone kits, diaphragms, professional loudspeaker drivers","Distributor / Importer","Official B&C Speakers distributor in South Africa"
"PQSound","South Africa","https://pqsound.co.za","","","","","","","","","","","Recone kits, rubber surrounds, speaker box parts","Retailer / Distributor","Offers various speaker repair components in SA"
"A1 Sound","South Africa","https://a1sound.co.za","","","","","","","","","","","Recone kits, voice coils, spiders, dust caps, surrounds, cones","Retailer / Distributor","Comprehensive range of PA speaker repair components"
"Dakota Music and Electronics","South Africa","https://dakotamusic.co.za","","","","","","","","","","","Recone kits (Hybrid speakers), speaker accessories","Retailer / Wholesaler","Wholesaler and retailer for music and speaker components"
"RSE Electronics","South Africa","https://rseonlineshop.co.za","","","","","","","","","","","Cones, surrounds, voice coils, spiders, dust caps","Retailer","Stocks speaker repair accessories and individual components"
"Nec Elektronik","Turkey","https://necelektronik.com","","","","","","","","","","","Cones, voice coils, dust caps, spider dampers, tweeter membranes","Distributor / Retailer","Well-known Turkish supplier for speaker repair components"
"Ses Istanbul","Turkey","https://sesistanbul.net","","","","","","","","","","","Surrounds, dampers, coils, cones, speaker repair materials","Distributor / Speaker Repair","Wide range of speaker repair materials in Istanbul"
"Medu Muzik Market","Turkey","https://medumuzikmarket.com","","","","","","","","","","","Speaker repair kits, Eminence parts","Retailer","Offers various speaker repair kits including Eminence brand"
"Merter Elektronik","Turkey","https://merterelektronik.com","","","","","","","","","","","Speaker terminals, membranes, sound system components","Distributor","Major electronics wholesaler with speaker repair parts"
"Voice Master (Hoparlor Tamiri)","Turkey","https://hoparlortamiri.com.tr","","","","","","","","","","","Professional speaker reconing and repair services","Recone Specialist","Dedicated speaker repair center in Turkey"
"Sound Factory FZCO","UAE","https://soundfactoryfzco.com","","","","","","","","","","","Professional audio, musical instruments, components","Distributor / Wholesaler","Wholesale supplier across Middle East and Africa from Jebel Ali"
"Audio Shop Dubai","UAE","https://audioshopdubai.com","","","","","","","","","","","Speaker parts, grilles, components, pro audio equipment","Retailer / Distributor","General destination for professional audio parts in Dubai"
"Pro Audio Electronics LLC","UAE","https://proaudioelectronicsme.com","","","","","","","","","","","PA systems, audio components, speaker accessories","Distributor","Sole Amperes distributor for MENA region"
"Techniline Electronics","UAE","https://techniline.org","","","","","","","","","","","Spare parts for pro-audio, crossover fuses, faders","Distributor / Retailer","Offers pro-audio spare parts and components in UAE"
"Rubber Monkey","New Zealand","https://www.rubbermonkey.co.nz","","","","","","","","","","","RCF recone kits, professional audio parts","Distributor","NZ stockist of professional audio components and recone kits"
"Jansen Audio","New Zealand","https://www.jansenaudio.co.nz","","","","","","","","","","","Professional audio components, recone kits, driver parts","Distributor","NZ supplier of pro audio components"
"Buzz Audio Ltd","New Zealand","https://buzzaudio.co.nz","","","","","","","","","","","HF horns, compression drivers, woofers, speaker components","Distributor","Blenheim-based specialist in loudspeaker components"
"Livesound","New Zealand","https://livesound.co.nz","","","","","","","","","","","Driver reconing, diaphragm replacement, foam surround repair","Speaker Repair","Full speaker repair and reconditioning services in NZ"
"Sarne's Speaker Shop","New Zealand","","","","","","","","","","","","Surround replacement, re-foaming, voice coil/cone repair","Speaker Repair","Auckland-based professional speaker restoration services"
"ARD Importing & Distribution","New Zealand","","","","","","","","","","","","Simply Speakers repair kits, foam edge replacement kits","Importer / Distributor","NZ stockist of Simply Speakers DIY repair kits"
"Sound House","Japan","https://www.soundhouse.co.jp","","","","","","","","","","","Speaker parts, drivers, grilles, professional audio equipment","Distributor / Retailer","Major Japanese retailer of professional audio and components"
"Hi-Fi Do","Japan","https://www.hifido.co.jp","","","","","","","","","","","Vintage audio parts, speaker restoration components","Retailer","Well-known for vintage audio parts and speaker restoration"
"Fostex Company","Japan","https://www.fostex.jp","","","","","","","","","","","Full-range drivers, speaker units, DIY kits","OEM / Distributor","Major Japanese manufacturer selling DIY speaker units"
"Korea Toptone","South Korea","","","","","","","","","","","","Speaker components, drivers, transducers","OEM Supplier","Korean manufacturer that may source components externally"
"Alltronic Computer","Singapore","https://www.alltroniccomputer.com.sg","","","","","","","","","","","Speaker rings, foam membranes, replacement parts","Retailer","Singapore-based supplier of speaker replacement components"
"Selby Acoustics","Australia","https://www.selby.com.au","","","","","","","","","","","Speaker parts, accessories, audio components","Distributor / Retailer","Australian supplier with nationwide shipping"
"Radio Parts","Australia","https://www.radioparts.com.au","","","","","","","","","","","Electronic and audio components, speaker hardware","Distributor","Long-standing Australian supplier of audio components"
"The Speaker Factory","Australia","https://thespeakerfactory.com.au","","","","","","","","","","","Guitar and Hi-Fi speakers, speaker parts","Retailer","Specializes in guitar and Hi-Fi speaker parts in Australia"
